ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
50451|Blessed Breath|{W}|Instant - Arcane|||Target creature you control gains protection from the color of your choice until end of turn.<br>Splice onto Arcane {W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)|Champions of Kamigawa|Common||Tsutomu Kawade|1|MID: 50451<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/1/blessed-breath?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e2d8650-b8c3-4e89-9aa2-424a98715c38.jpg?1562762995}
78600|Bushi Tenderfoot // Kenzo the Hardhearted|{W}|Creature - Human Soldier|1|1|When a creature dealt damage by this creature this turn dies, flip this creature.|Champions of Kamigawa|Uncommon||Mark Zug|2|MID: 78600<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/2/bushi-tenderfoot-kenzo-the-hardhearted?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/864ad989-19a6-4930-8efc-bbc077a18c32.jpg?1562762069, FLIPID=-78600}
-78600|Bushi Tenderfoot // Kenzo the Hardhearted (flip)||Legendary Creature - Human Samurai|3|4|Double strike; bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)|Champions of Kamigawa|Uncommon||Mark Zug|2b|MID: 78600<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/2/bushi-tenderfoot-kenzo-the-hardhearted?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/864ad989-19a6-4930-8efc-bbc077a18c32.jpg?1562762069, FLIPID=78600}
50233|Cage of Hands|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.<br>{1}{W}: Return this Aura to its owner's hand.|Champions of Kamigawa|Common||Mark Tedin|3|MID: 50233<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/3/cage-of-hands?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98a80b6a-90ed-482f-9714-eb856269e9d3.jpg?1562762955}
77140|Call to Glory|{1}{W}|Instant|||Untap all creatures you control. Samurai creatures you control get +1/+1 until end of turn.|Champions of Kamigawa|Common||Wayne Reynolds|4|MID: 77140<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/4/call-to-glory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/5/758fcfe4-0347-4ac6-8e29-f945cb1d7295.jpg?1611369533}
80292|Candles' Glow|{1}{W}|Instant - Arcane|||Prevent the next 3 damage that would be dealt to any target this turn. You gain life equal to the damage prevented this way.<br>Splice onto Arcane {1}{W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)|Champions of Kamigawa|Uncommon||Alan Pollack|5|MID: 80292<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/5/candles-glow?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/0758d20f-6f0f-462e-a7ec-2511c146983d.jpg?1562757443}
80500|Cleanfall|{2}{W}|Sorcery - Arcane|||Destroy all enchantments.|Champions of Kamigawa|Uncommon||Daren Bader|6|MID: 80500<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/6/cleanfall?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/9897707f-9669-4d44-8607-cba569da73e0.jpg?1562762953}
50440|Devoted Retainer|{W}|Creature - Human Samurai|1|1|Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)|Champions of Kamigawa|Common||Greg Hildebrandt|7|MID: 50440<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/7/devoted-retainer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc41d6d6-d7e5-4874-b6e2-fa4c72454f15.jpg?1562766101}
50296|Eight-and-a-Half-Tails|{W}{W}|Legendary Creature - Fox Cleric|2|2|{1}{W}: Target permanent you control gains protection from white until end of turn.<br>{1}: Target spell or permanent becomes white until end of turn.|Champions of Kamigawa|Rare||Daren Bader|8|MID: 50296<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/8/eight-and-a-half-tails?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5bc72076-fb6c-420b-9c88-faabb9b91a03.jpg?1562760541}
80526|Ethereal Haze|{W}|Instant - Arcane|||Prevent all damage that would be dealt by creatures this turn.|Champions of Kamigawa|Common||Chris Appelhans|9|MID: 80526<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/chk/9/ethereal-haze?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7f1996af-5f15-447f-9b1d-98a7e97df53a.jpg?1562762002}
