ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
8f61a0ea-c2e8-4571-9669-19abd8bbc874|Venser, the Sojourner|{3}{W}{U}|Legendary Planeswalker - Venser|||+2: Exile target permanent you own. Return it to the battlefield under your control at the beginning of the next end step.<br>−1: Creatures can't be blocked this turn.<br>−8: You get an emblem with "Whenever you cast a spell, exile target permanent."|Duel Decks: Venser vs. Koth|Mythic||Eric Deschamps|1|MID: 266078<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/ddi/1/venser-the-sojourner?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=266078&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f61a0ea-c2e8-4571-9669-19abd8bbc874.jpg?1581708232, GATHERERID=266078}
dfc1ecf5-5801-45a1-98fe-8c058db80292|Whitemane Lion|{1}{W}|Creature - Cat|2|2|Flash<br>When this creature enters, return a creature you control to its owner's hand.|Duel Decks: Venser vs. Koth|Common||Zoltan Boros & Gabor Szikszai|2|MID: 270859<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/2/whitemane-lion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270859&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/dfc1ecf5-5801-45a1-98fe-8c058db80292.jpg?1581708238, GATHERERID=270859}
0bd65b44-e728-4584-b1c4-7db3fd4384e3|Augury Owl|{1}{U}|Creature - Bird|1|1|Flying<br>When this creature enters, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom and the rest on top in any order.)|Duel Decks: Venser vs. Koth|Common||Jim Nelson|3|MID: 270841<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/3/augury-owl?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270841&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0bd65b44-e728-4584-b1c4-7db3fd4384e3.jpg?1581708244, GATHERERID=270841}
4f6e1cf2-1c0e-4b9b-9687-dd02ac019fbc|Coral Fighters|{1}{U}|Creature - Merfolk Soldier|1|1|Whenever this creature attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.|Duel Decks: Venser vs. Koth|Uncommon||Steve Luke|4|MID: 282600<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/4/coral-fighters?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=282600&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4f6e1cf2-1c0e-4b9b-9687-dd02ac019fbc.jpg?1581708249, GATHERERID=282600}
a598d08d-c9d4-4de5-bef5-998dd115b8b6|Minamo Sightbender|{1}{U}|Creature - Human Wizard|1|2|{X}, {T}: Target creature with power X or less can't be blocked this turn.|Duel Decks: Venser vs. Koth|Uncommon||Luca Zontini|5|MID: 282602<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/5/minamo-sightbender?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=282602&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a598d08d-c9d4-4de5-bef5-998dd115b8b6.jpg?1581708254, GATHERERID=282602}
79f55b00-3182-42a6-a53b-5fd25c29a024|Mistmeadow Witch|{1}{W/U}|Creature - Kithkin Wizard|1|1|{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.|Duel Decks: Venser vs. Koth|Uncommon||Greg Staples|6|MID: 282603<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/6/mistmeadow-witch?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=282603&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/79f55b00-3182-42a6-a53b-5fd25c29a024.jpg?1581708260, GATHERERID=282603}
108bcd95-7e9d-410a-abc4-c39cbfe62025|Scroll Thief|{2}{U}|Creature - Merfolk Rogue|1|3|Whenever this creature deals combat damage to a player, draw a card.|Duel Decks: Venser vs. Koth|Common||Alex Horley-Orlandelli|7|MID: 270845<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/7/scroll-thief?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270845&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/108bcd95-7e9d-410a-abc4-c39cbfe62025.jpg?1581708266, GATHERERID=270845}
558edff1-c156-4c0e-9991-ae5c8b5062ae|Neurok Invisimancer|{1}{U}{U}|Creature - Human Wizard|2|1|This creature can't be blocked.<br>When this creature enters, target creature can't be blocked this turn.|Duel Decks: Venser vs. Koth|Common||Izzy|8|MID: 270868<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/8/neurok-invisimancer?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270868&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/5/558edff1-c156-4c0e-9991-ae5c8b5062ae.jpg?1581708272, GATHERERID=270868}
ce9ae86a-3a1c-44bc-83bd-ab9422133548|Slith Strider|{1}{U}{U}|Creature - Slith|1|1|Whenever this creature becomes blocked, draw a card.<br>Whenever this creature deals combat damage to a player, put a +1/+1 counter on it.|Duel Decks: Venser vs. Koth|Uncommon||Justin Sweet|9|MID: 270851<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/9/slith-strider?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270851&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce9ae86a-3a1c-44bc-83bd-ab9422133548.jpg?1581708278, GATHERERID=270851}
2ab0fa2e-c0e8-4d78-956e-df6e126bc63e|Sky Spirit|{1}{W}{U}|Creature - Spirit|2|2|Flying, first strike|Duel Decks: Venser vs. Koth|Uncommon||Rebecca Guay|10|MID: 284485<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ddi/10/sky-spirit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=284485&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2ab0fa2e-c0e8-4d78-956e-df6e126bc63e.jpg?1581708283, GATHERERID=284485}
