ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_74f8a654-8a7c-47db-b7aa-f78112b2f943|Archon of Sun's Grace|{2}{W}{W}|Creature - Archon|3|4|Flying<br>Lifelink (Damage dealt by this creature also causes you to gain that much life.)<br>Pegasus creatures you control have lifelink.<br>Constellation — Whenever an enchantment you control enters, create a 2/2 white Pegasus creature token with flying.|Theros Beyond Death Promos|Rare||Matt Stewart|3p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pthb/3p/archon-of-suns-grace?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74f8a654-8a7c-47db-b7aa-f78112b2f943.jpg?1581630625}
scry_4a8ebe3d-e189-430f-9431-bab4863daf37|Archon of Sun's Grace|{2}{W}{W}|Creature - Archon|3|4|Flying<br>Lifelink (Damage dealt by this creature also causes you to gain that much life.)<br>Pegasus creatures you control have lifelink.<br>Constellation — Whenever an enchantment you control enters, create a 2/2 white Pegasus creature token with flying.|Theros Beyond Death Promos|Rare||Matt Stewart|3s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pthb/3s/archon-of-suns-grace?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4a8ebe3d-e189-430f-9431-bab4863daf37.jpg?1581630785}
scry_1fb78504-62c5-4473-a505-0af969870842|Eidolon of Obstruction|{1}{W}|Enchantment Creature - Spirit|2|1|First strike<br>Loyalty abilities of planeswalkers your opponents control cost {1} more to activate.|Theros Beyond Death Promos|Rare||Jason Rainville|12p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pthb/12p/eidolon-of-obstruction?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1fb78504-62c5-4473-a505-0af969870842.jpg?1588680971}
scry_64e8d4cf-184c-4361-bd5b-5ac50f4ab603|Eidolon of Obstruction|{1}{W}|Enchantment Creature - Spirit|2|1|First strike<br>Loyalty abilities of planeswalkers your opponents control cost {1} more to activate.|Theros Beyond Death Promos|Rare||Jason Rainville|12s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pthb/12s/eidolon-of-obstruction?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64e8d4cf-184c-4361-bd5b-5ac50f4ab603.jpg?1588681036}
scry_c021b6b9-9033-4f95-9353-c42e5845aaf1|Elspeth Conquers Death|{3}{W}{W}|Enchantment - Saga|||(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)<br>I — Exile target permanent an opponent controls with mana value 3 or greater.<br>II — Noncreature spells your opponents cast cost {2} more to cast until your next turn.<br>III — Return target creature or planeswalker card from your graveyard to the battlefield. Put a +1/+1 counter or a loyalty counter on it.|Theros Beyond Death Promos|Rare||Ryan Yee|13p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pthb/13p/elspeth-conquers-death?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c021b6b9-9033-4f95-9353-c42e5845aaf1.jpg?1581630613}
scry_66c4b6c9-81a0-4b13-8504-28768ce1017c|Elspeth Conquers Death|{3}{W}{W}|Enchantment - Saga|||(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)<br>I — Exile target permanent an opponent controls with mana value 3 or greater.<br>II — Noncreature spells your opponents cast cost {2} more to cast until your next turn.<br>III — Return target creature or planeswalker card from your graveyard to the battlefield. Put a +1/+1 counter or a loyalty counter on it.|Theros Beyond Death Promos|Rare||Ryan Yee|13s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pthb/13s/elspeth-conquers-death?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/6/66c4b6c9-81a0-4b13-8504-28768ce1017c.jpg?1581630774}
scry_e90ad5bd-f484-4164-8a5c-be22248ee08f|Elspeth, Sun's Nemesis|{2}{W}{W}|Legendary Planeswalker - Elspeth|||−1: Up to two target creatures you control each get +2/+1 until end of turn.<br>−2: Create two 1/1 white Human Soldier creature tokens.<br>−3: You gain 5 life.<br>Escape—{4}{W}{W}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)|Theros Beyond Death Promos|Mythic||Livia Prima|14p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pthb/14p/elspeth-suns-nemesis?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e90ad5bd-f484-4164-8a5c-be22248ee08f.jpg?1581630608}
scry_4cc79a65-67bd-44ef-a42e-4591a1b6d31a|Elspeth, Sun's Nemesis|{2}{W}{W}|Legendary Planeswalker - Elspeth|||−1: Up to two target creatures you control each get +2/+1 until end of turn.<br>−2: Create two 1/1 white Human Soldier creature tokens.<br>−3: You gain 5 life.<br>Escape—{4}{W}{W}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.)|Theros Beyond Death Promos|Mythic||Livia Prima|14s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pthb/14s/elspeth-suns-nemesis?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4cc79a65-67bd-44ef-a42e-4591a1b6d31a.jpg?1581630769}
scry_fcc3bffc-7825-4372-8ac1-f2c1c0561a15|Heliod, Sun-Crowned|{2}{W}|Legendary Enchantment Creature - God|5|5|Indestructible<br>As long as your devotion to white is less than five, Heliod isn't a creature.<br>Whenever you gain life, put a +1/+1 counter on target creature or enchantment you control.<br>{1}{W}: Another target creature gains lifelink until end of turn.|Theros Beyond Death Promos|Mythic||Lius Lasahido|18p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br>https://scryfall.com/card/pthb/18p/heliod-sun-crowned?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fcc3bffc-7825-4372-8ac1-f2c1c0561a15.jpg?1588680989}
scry_b2a0121b-214e-456f-b4d6-077e60bf7683|Heliod, Sun-Crowned|{2}{W}|Legendary Enchantment Creature - God|5|5|Indestructible<br>As long as your devotion to white is less than five, Heliod isn't a creature.<br>Whenever you gain life, put a +1/+1 counter on target creature or enchantment you control.<br>{1}{W}: Another target creature gains lifelink until end of turn.|Theros Beyond Death Promos|Mythic||Lius Lasahido|18s|Finishes: foil:<br>Promos: prerelease:datestamped:<br>https://scryfall.com/card/pthb/18s/heliod-sun-crowned?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b2a0121b-214e-456f-b4d6-077e60bf7683.jpg?1588681038}
