ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_af6a8b6f-344a-4a4f-8949-b3ab2465b74b|Legion's Landing // Adanto, the First Fort|{W}|Legendary Enchantment|||When Legion's Landing enters, create a 1/1 white Vampire creature token with lifelink.<br>When you attack with three or more creatures, transform Legion's Landing.|XLN Treasure Chest|Rare||Svetlin Velinov|22|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/22/legions-landing-adanto-the-first-fort?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/af6a8b6f-344a-4a4f-8949-b3ab2465b74b.jpg?1596137555, FLIPID=-scry_af6a8b6f-344a-4a4f-8949-b3ab2465b74b}
-scry_af6a8b6f-344a-4a4f-8949-b3ab2465b74b|Legion's Landing // Adanto, the First Fort (transform)||Legendary Land|||(Transforms from Legion's Landing.)<br>{T}: Add {W}.<br>{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.|XLN Treasure Chest|Rare||Jared Blando|22b|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/22/legions-landing-adanto-the-first-fort?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/f/af6a8b6f-344a-4a4f-8949-b3ab2465b74b.jpg?1596137555, FLIPID=scry_af6a8b6f-344a-4a4f-8949-b3ab2465b74b}
scry_1056ab38-416c-450b-9e99-1a3eefc39f32|Search for Azcanta // Azcanta, the Sunken Ruin|{1}{U}|Legendary Enchantment|||At the beginning of your upkeep, surveil 1. Then if you have seven or more cards in your graveyard, you may transform Search for Azcanta. (Look at the top card of your library. You may put that card into your graveyard.)|XLN Treasure Chest|Rare||Magali Villeneuve|74|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/74/search-for-azcanta-azcanta-the-sunken-ruin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/1056ab38-416c-450b-9e99-1a3eefc39f32.jpg?1562271911, FLIPID=-scry_1056ab38-416c-450b-9e99-1a3eefc39f32}
-scry_1056ab38-416c-450b-9e99-1a3eefc39f32|Search for Azcanta // Azcanta, the Sunken Ruin (transform)||Legendary Land|||(Transforms from Search for Azcanta.)<br>{T}: Add {U}.<br>{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.|XLN Treasure Chest|Rare||Jared Blando|74b|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/74/search-for-azcanta-azcanta-the-sunken-ruin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/0/1056ab38-416c-450b-9e99-1a3eefc39f32.jpg?1562271911, FLIPID=scry_1056ab38-416c-450b-9e99-1a3eefc39f32}
scry_2b31d323-a715-4085-a711-8f2a3f4d9942|Arguel's Blood Fast // Temple of Aclazotz|{1}{B}|Legendary Enchantment|||{1}{B}, Pay 2 life: Draw a card.<br>At the beginning of your upkeep, if you have 5 or less life, you may transform Arguel's Blood Fast.|XLN Treasure Chest|Rare||Daarken|90|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/90/arguels-blood-fast-temple-of-aclazotz?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2b31d323-a715-4085-a711-8f2a3f4d9942.jpg?1681725121, FLIPID=-scry_2b31d323-a715-4085-a711-8f2a3f4d9942}
-scry_2b31d323-a715-4085-a711-8f2a3f4d9942|Arguel's Blood Fast // Temple of Aclazotz (transform)||Legendary Land|||(Transforms from Arguel's Blood Fast.)<br>{T}: Add {B}.<br>{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.|XLN Treasure Chest|Rare||Jared Blando|90b|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/90/arguels-blood-fast-temple-of-aclazotz?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/b/2b31d323-a715-4085-a711-8f2a3f4d9942.jpg?1681725121, FLIPID=scry_2b31d323-a715-4085-a711-8f2a3f4d9942}
scry_b96daf2a-9065-484b-a078-c6ee5a0281ed|Vance's Blasting Cannons // Spitfire Bastion|{3}{R}|Legendary Enchantment|||At the beginning of your upkeep, exile the top card of your library. If it's a nonland card, you may cast that card this turn.<br>Whenever you cast your third spell in a turn, you may transform Vance's Blasting Cannons.|XLN Treasure Chest|Rare||Jonas De Ro|173|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/173/vances-blasting-cannons-spitfire-bastion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b96daf2a-9065-484b-a078-c6ee5a0281ed.jpg?1562271974, FLIPID=-scry_b96daf2a-9065-484b-a078-c6ee5a0281ed}
-scry_b96daf2a-9065-484b-a078-c6ee5a0281ed|Vance's Blasting Cannons // Spitfire Bastion (transform)||Legendary Land|||(Transforms from Vance's Blasting Cannons.)<br>{T}: Add {R}.<br>{2}{R}, {T}: Spitfire Bastion deals 3 damage to any target.|XLN Treasure Chest|Rare||Jared Blando|173b|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/173/vances-blasting-cannons-spitfire-bastion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/b/9/b96daf2a-9065-484b-a078-c6ee5a0281ed.jpg?1562271974, FLIPID=scry_b96daf2a-9065-484b-a078-c6ee5a0281ed}
scry_4ca05921-d3bd-4c39-8b37-243658a2f23f|Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun|{2}{G}|Legendary Enchantment|||When Growing Rites of Itlimoc enters, look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br>At the beginning of your end step, if you control four or more creatures, transform Growing Rites of Itlimoc.|XLN Treasure Chest|Rare||Grzegorz Rutkowski|191|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/191/growing-rites-of-itlimoc-itlimoc-cradle-of-the-sun?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4ca05921-d3bd-4c39-8b37-243658a2f23f.jpg?1562271934, FLIPID=-scry_4ca05921-d3bd-4c39-8b37-243658a2f23f}
-scry_4ca05921-d3bd-4c39-8b37-243658a2f23f|Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun (transform)||Legendary Land|||(Transforms from Growing Rites of Itlimoc.)<br>{T}: Add {G}.<br>{T}: Add {G} for each creature you control.|XLN Treasure Chest|Rare||Jared Blando|191b|Finishes: foil:<br>Promos: buyabox:<br>https://scryfall.com/card/pxtc/191/growing-rites-of-itlimoc-itlimoc-cradle-of-the-sun?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/c/4ca05921-d3bd-4c39-8b37-243658a2f23f.jpg?1562271934, FLIPID=scry_4ca05921-d3bd-4c39-8b37-243658a2f23f}
