ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
71dc8556-a658-40e1-8a93-6a62af208a28|Adorned Pouncer||Token Creature - Zombie Cat|4|4|Double strike|Hour of Devastation Tokens|Common||Slawomir Maniak|1|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/1/adorned-pouncer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71dc8556-a658-40e1-8a93-6a62af208a28.jpg?1562639859}
65eebe6c-5bc9-463c-b74c-eae79fc3c1b6|Champion of Wits||Token Creature - Zombie Naga Wizard|4|4|When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards.|Hour of Devastation Tokens|Common||Even Amundsen|2|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/2/champion-of-wits?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/65eebe6c-5bc9-463c-b74c-eae79fc3c1b6.jpg?1746945763}
8c362d05-f2f7-4415-8937-f9f368986e61|Dreamstealer||Token Creature - Zombie Human Wizard|4|4|Menace<br>Whenever Dreamstealer deals combat damage to a player, that player discards that many cards.|Hour of Devastation Tokens|Common||Yongjae Choi|3|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/3/dreamstealer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/c/8c362d05-f2f7-4415-8937-f9f368986e61.jpg?1562639915}
c4bb3bd7-5aef-495e-81ba-f5d287981dbd|Earthshaker Khenra||Token Creature - Zombie Jackal Warrior|4|4|Haste<br>When Earthshaker Khenra enters the battlefield, target creature with power less than or equal to Earthshaker Khenra's power can't block this turn.|Hour of Devastation Tokens|Common||Jason A. Engle|4|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/4/earthshaker-khenra?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c4bb3bd7-5aef-495e-81ba-f5d287981dbd.jpg?1562640030}
7c9d8aac-c032-4e0d-a8ef-99a7c53c7a19|Proven Combatant||Token Creature - Zombie Human Warrior|4|4||Hour of Devastation Tokens|Common||Clint Cearley|5|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/5/proven-combatant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c9d8aac-c032-4e0d-a8ef-99a7c53c7a19.jpg?1562639879}
c1326c5d-b5a5-4942-b15d-37830ac62c7d|Resilient Khenra||Token Creature - Zombie Jackal Wizard|4|4|When Resilient Khenra enters the battlefield, you may have target creature get +X/+X until end of turn, where X is Resilient Khenra's power.|Hour of Devastation Tokens|Common||Svetlin Velinov|6|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/6/resilient-khenra?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1326c5d-b5a5-4942-b15d-37830ac62c7d.jpg?1562640026}
513f2ce9-0127-4479-b37a-a835fbada8f8|Sinuous Striker||Token Creature - Zombie Naga Warrior|4|4|{U}: Sinuous Striker gets +1/-1 until end of turn.|Hour of Devastation Tokens|Common||Svetlin Velinov|7|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/7/sinuous-striker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/1/513f2ce9-0127-4479-b37a-a835fbada8f8.jpg?1746945735}
872694ba-0666-43c1-8884-47a2e92a127c|Steadfast Sentinel||Token Creature - Zombie Human Cleric|4|4|Vigilance|Hour of Devastation Tokens|Common||Karl Kopinski|8|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/8/steadfast-sentinel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/872694ba-0666-43c1-8884-47a2e92a127c.jpg?1562639897}
289a9593-151e-47d0-b0de-5eb9f061515a|Sunscourge Champion||Token Creature - Zombie Human Wizard|4|4|When Sunscourge Champion enters the battlefield, you gain life equal to its power.|Hour of Devastation Tokens|Common||Josu Hernaiz|9|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/9/sunscourge-champion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/289a9593-151e-47d0-b0de-5eb9f061515a.jpg?1562639722}
f3dd4d92-6471-4f4b-9c70-cbd2196e8c7b|Horse||Token Creature - Horse|5|5||Hour of Devastation Tokens|Common||Lucas Graciano|10|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/thou/10/horse?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f3dd4d92-6471-4f4b-9c70-cbd2196e8c7b.jpg?1562640130}
