ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
a16b4228-ed85-4d31-8760-88539b9a3cf9|Cat||Token Creature - Cat|2|2|Flying|Unfinity Tokens|Common||Gaboleps|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/1/cat?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a16b4228-ed85-4d31-8760-88539b9a3cf9.jpg?1675456825}
54d001ca-285e-4033-9d97-0a1db3a8ec7b|Clown Robot||Token Artifact Creature - Clown Robot|1|1||Unfinity Tokens|Common||Ralph Horsley|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/2/clown-robot?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/54d001ca-285e-4033-9d97-0a1db3a8ec7b.jpg?1709590953}
7fcd324b-8325-40f3-8a02-b84102cc63ab|Clown Robot||Token Artifact Creature - Clown Robot|1|1||Unfinity Tokens|Common||Matt Dixon|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/3/clown-robot?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7fcd324b-8325-40f3-8a02-b84102cc63ab.jpg?1709590968}
dd308e57-6ded-4131-bc52-6c04025b8e60|Contortionist // Contortionist||Token Creature - Octopus Performer|4|4|At the beginning of your upkeep, you may fold this token in half.|Unfinity Tokens|Common||Tomek Larek|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/4/contortionist-contortionist?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dd308e57-6ded-4131-bc52-6c04025b8e60.jpg?1675461160, FLIPID=-dd308e57-6ded-4131-bc52-6c04025b8e60}
-dd308e57-6ded-4131-bc52-6c04025b8e60|Contortionist // Contortionist (double_faced_token)||Token Creature - Octopus Performer|2|2|At the beginning of your upkeep, you may fold this token in half.|Unfinity Tokens|Common||Tomek Larek|4b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/4/contortionist-contortionist?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/d/dd308e57-6ded-4131-bc52-6c04025b8e60.jpg?1675461160, FLIPID=dd308e57-6ded-4131-bc52-6c04025b8e60}
32c73960-1dd9-4f11-81b3-2ae4d3a5e283|Storm Crow||Token Creature - Bird|1|2|Flying|Unfinity Tokens|Common||Greg Staples|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/5/storm-crow?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/32c73960-1dd9-4f11-81b3-2ae4d3a5e283.jpg?1684573282}
c6d7d1d3-8989-4c54-9029-c1298c6ff8ca|Zombie Employee||Token Creature - Zombie Employee|2|2||Unfinity Tokens|Common||Sebastian Giacobino|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/6/zombie-employee?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c6d7d1d3-8989-4c54-9029-c1298c6ff8ca.jpg?1675456867}
4c8f2c0f-7ed8-4d72-8f94-33ad615bf21d|Balloon||Token Creature - Balloon|1|1|Flying|Unfinity Tokens|Common||Greg Bobrowski|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/7/balloon?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/c/4c8f2c0f-7ed8-4d72-8f94-33ad615bf21d.jpg?1675456876}
0b4170e0-c899-481a-8076-cae9f3effc37|Squirrel||Token Creature - Squirrel|1|1||Unfinity Tokens|Common||Dave Greco|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/8/squirrel?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b4170e0-c899-481a-8076-cae9f3effc37.jpg?1675456885}
4aef57de-7b99-47f3-af44-3c0bc546bbac|Teddy Bear||Token Creature - Teddy Bear|2|2||Unfinity Tokens|Common||Ernanda Souza|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tunf/9/teddy-bear?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4aef57de-7b99-47f3-af44-3c0bc546bbac.jpg?1675456893}
